% Model,SimpleTrap.mph
% Version,COMSOL 5.6.0.280
% Date,"Jul 5 2023, 23:03"
% Dimension,3
% Nodes,1025
% Expressions,2
% Description,"Electric potential, Electric field norm"
% Length unit,µm
% x,y,z,esbe.V (V),esbe.normE (V/m)
-199.99999999999997,0,3,8.561891300833922E-4,266.1895018679895
-199.80449657869013,0,3,8.571986008395881E-4,266.5373245117026
-199.41348973607032,0,3,8.595346485165507E-4,267.13754775415526
-199.02248289345061,0,3,8.623251022682075E-4,267.60119734631365
-198.6314760508308,0,3,8.655944644067439E-4,267.9221378281286
-198.24046920821115,0,3,8.693533633813673E-4,268.0967891564859
-197.84946236559136,0,3,8.735986672438224E-4,268.12324497049417
-197.45845552297166,0,3,8.783117863866777E-4,268.00373485654984
-197.06744868035184,0,3,8.83456261758753E-4,267.74929879427447
-196.67644183773217,0,3,8.889766080868835E-4,267.3844311581829
-196.28543499511235,0,3,8.948003883879653E-4,266.9492591073264
-195.89442815249262,0,3,9.008446412440653E-4,266.49749534266056
-195.50342130987283,0,3,9.070264021066197E-4,266.0896525202238
-195.1124144672532,0,3,9.132756402382538E-4,265.78249417574244
-194.7214076246334,0,3,9.195479227705238E-4,265.61706163819156
-194.3304007820137,0,3,9.258338061582877E-4,265.60841755798526
-193.93939393939388,0,3,9.321624228201932E-4,265.74009674295485
-193.54838709677415,0,3,9.386122406484336E-4,265.9645615957016
-193.15738025415436,0,3,9.452420660931776E-4,266.212800527563
-192.76637341153472,0,3,9.521636879719231E-4,266.40337715981735
-192.3753665689149,0,3,9.594629187178374E-4,266.4587548523305
-191.9843597262952,0,3,9.671974689192961E-4,266.317983084277
-191.59335288367538,0,3,9.753838103200626E-4,265.94682720772084
-191.20234604105568,0,3,9.839910018085672E-4,265.3434968234651
-190.81133919843583,0,3,9.92942599743917E-4,264.539295440231
-190.4203323558162,0,3,0.001002126164684679,263.59396437605653
-190.0293255131964,0,3,0.0010114083819882267,262.5861417569877
-189.63831867057672,0,3,0.0010206527505766628,261.6003814996363
-189.24731182795693,0,3,0.0010297364109205344,260.7132631420324
-188.85630498533723,0,3,0.001038563073603926,259.98165764780344
-188.46529814271742,0,3,0.0010470700536824853,259.43577198294076
-188.07429130009768,0,3,0.001055228816190962,259.0782592220528
-187.6832844574779,0,3,0.0010630398342044729,258.88896887014073
-187.29227761485825,0,3,0.0010705517940027285,258.8327883003263
-186.90127077223843,0,3,0.001077737397096862,258.8721141001289
-186.51026392961876,0,3,0.0010846570295543795,258.97080544246035
-186.11925708699894,0,3,0.0010913348009826433,259.1023909032658
-185.7282502443792,0,3,0.0010977852306684184,259.2507269515542
-185.33724340175942,0,3,0.001104012899928898,259.4082873322341
-184.94623655913978,0,3,0.0011100137704716578,259.5729020799813
-184.55522971652,0,3,0.0011157766220727602,259.74496749825755
-184.1642228739003,0,3,0.001121283479379346,259.9267269574407
-183.77321603128047,0,3,0.0011265088197586386,260.12407060530296
-183.38220918866074,0,3,0.0011314183682489803,260.34993717724404
-182.99120234604095,0,3,0.0011359689352641853,260.6274523935898
-182.6001955034213,0,3,0.0011401107539243706,260.9907737504895
-182.2091886608015,0,3,0.0011437931231185645,261.4822191514778
-181.8181818181818,0,3,0.0011469730959183231,262.1453981228759
-181.42717497556202,0,3,0.001149625823240753,263.01543409362324
-181.03616813294232,0,3,0.0011517457977306888,264.1094669566711
-180.64516129032248,0,3,0.0011533857667473035,265.4152909304232
-180.25415444770283,0,3,0.001154611464396172,266.89343440671064
-179.86314760508304,0,3,0.0011555265763604017,268.4775277150571
-179.47214076246334,0,3,0.0011562540011532175,270.0846910306321
-179.08113391984352,0,3,0.0011569198080155977,271.6289640334495
-178.69012707722385,0,3,0.0011576354382135745,273.0354991567127
-178.29912023460403,0,3,0.0011584815535764267,274.25265422100006
-177.9081133919843,0,3,0.0011594967219281218,275.260036371944
-177.5171065493645,0,3,0.0011606732219193463,276.07152741660207
-177.12609970674487,0,3,0.0011619608771022173,276.7329493004273
-176.73509286412505,0,3,0.001163278274375666,277.3144478903599
-176.34408602150538,0,3,0.0011645292705815993,277.8983350740021
-175.95307917888556,0,3,0.0011656216255413131,278.56422968572
-175.56207233626583,0,3,0.0011664841769982183,279.374481113286
-175.17106549364604,0,3,0.001167079340110403,280.363297923211
-174.7800586510264,0,3,0.0011674025573731803,281.532256105721
-174.38905180840658,0,3,0.0011674946343418861,282.85290369545385
-173.9980449657869,0,3,0.0011674280218891843,284.2754820738976
-173.60703812316706,0,3,0.0011672891277241322,285.7404737862164
-173.21603128054736,0,3,0.00116716934137688,287.18997766402305
-172.82502443792757,0,3,0.0011671539019313345,288.57606066161173
-172.43401759530792,0,3,0.001167314366560303,289.86468514773384
-172.04301075268813,0,3,0.0011677052112922148,291.03526521160654
-171.65200391006843,0,3,0.0011683637428238328,292.07722068248944
-171.2609970674486,0,3,0.0011693115738651556,292.98575881655927
-170.86999022482894,0,3,0.0011705557648836202,293.7592072919389
-170.47898338220912,0,3,0.0011720884414401084,294.3993752532588
-170.08797653958945,0,3,0.0011738849687722703,294.914885171601
-169.69696969696963,0,3,0.0011759020337077735,295.32587964753907
-169.30596285434996,0,3,0.0011780776672986812,295.6676649814351
-168.91495601173017,0,3,0.0011803350329990013,295.990988842741
-168.52394916911047,0,3,0.0011826044783838736,296.3568393107992
-168.13294232649065,0,3,0.001184780711897621,296.83027842954846
-167.74193548387092,0,3,0.001186820287274585,297.4635133358018
-167.35092864125113,0,3,0.0011886985275118903,298.2862797163444
-166.95992179863148,0,3,0.0011904325146538238,299.29555826630576
-166.56891495601167,0,3,0.0011920828792801549,300.4523496428746
-166.177908113392,0,3,0.0011937473881824872,301.6862224647
-165.78690127077218,0,3,0.001195546833987334,302.90686546734975
-165.39589442815245,0,3,0.0011976055116933045,304.0198679126279
-165.00488758553266,0,3,0.0012000298856209668,304.94304206291446
-164.613880742913,0,3,0.0012028895487744152,305.62003050713196
-164.22287390029322,0,3,0.0012062041456117434,306.02919159685126
-163.83186705767352,0,3,0.0012099387274407325,306.1869634544022
-163.4408602150537,0,3,0.00121400835698637,306.1455575641086
-163.049853372434,0,3,0.0012182910205243641,305.9851256743687
-162.65884652981418,0,3,0.0012226463492973306,305.8010773296885
-162.26783968719454,0,3,0.0012269726488134194,305.69135600459657
-161.87683284457472,0,3,0.0012310810851513185,305.72915837304953
-161.48582600195505,0,3,0.001234928168020738,305.9668106399657
-161.09481915933526,0,3,0.0012384764823497648,306.41983041255486
-160.70381231671556,0,3,0.0012417301074109945,307.0710475118054
-160.31280547409574,0,3,0.0012447267906970446,307.8787418935551
-159.92179863147598,0,3,0.0012475259351578658,308.78832224209265
-159.5307917888562,0,3,0.0012501954525752528,309.7441309514747
-159.13978494623655,0,3,0.0012528002964311076,310.6985262909602
-158.74877810361676,0,3,0.0012553945601007405,311.61665624614335
-158.35777126099705,0,3,0.001258017699227532,312.47681501086186
-157.96676441837724,0,3,0.0012606941090552667,313.2676134652431
-157.5757575757575,0,3,0.0012634343841180034,313.98410744981356
-157.18475073313772,0,3,0.0012662364349224613,314.62518749870105
-156.79374389051807,0,3,0.0012690853029269904,315.1937505039386
-156.40273704789826,0,3,0.0012719517215996207,315.6996838329888
-156.01173020527858,0,3,0.0012747736544843446,316.1658283821724
-155.62072336265877,0,3,0.0012775237075711324,316.624665106645
-155.22971652003906,0,3,0.001280114009095193,317.12798302765214
-154.83870967741925,0,3,0.0012824701277679399,317.73570620855924
-154.4477028347996,0,3,0.0012845270234213765,318.5080225080417
-154.0566959921798,0,3,0.0012862429587089772,319.49280288903327
-153.6656891495601,0,3,0.0012876121718078375,320.7128514444354
-153.2746823069403,0,3,0.0012886730901411191,322.15663548732624
-152.88367546432062,0,3,0.0012895094543771096,323.7756567627834
-152.4926686217008,0,3,0.0012902430786928217,325.4898872964659
-152.10166177908113,0,3,0.0012910188018622364,327.2002882624551
-151.7106549364613,0,3,0.001291984018141483,328.80537798173754
-151.31964809384164,0,3,0.0012932665143726633,330.21799989285796
-150.92864125122185,0,3,0.0012949548208159964,331.3790395553193
-150.53763440860214,0,3,0.0012970848237943847,332.26620625828065
-150.14662756598233,0,3,0.001299635170561671,332.8971829344813
-149.7556207233626,0,3,0.001302550248095104,333.3264806838756
-149.36461388074278,0,3,0.0013056230991161546,333.63930808305685
-148.97360703812316,0,3,0.0013088053216855733,333.93397171599935
-148.58260019550335,0,3,0.0013119707819662695,334.3078996941065
-148.19159335288367,0,3,0.0013150181147351357,334.8397455958923
-147.80058651026386,0,3,0.0013178858017834274,335.57631531008377
-147.40957966764412,0,3,0.0013205591964104333,336.5266716552305
-147.01857282502434,0,3,0.0013230688902120106,337.6645065596819
-146.6275659824047,0,3,0.0013254817227535626,338.9373644623537
-146.23655913978487,0,3,0.0013278871687960512,340.2795027000332
-145.8455522971652,0,3,0.001330382465399905,341.62469191087774
-145.45454545454538,0,3,0.0013330595739551119,342.9159841118268
-145.06353861192568,0,3,0.001335996056563293,344.1108623331204
-144.67253176930586,0,3,0.0013392505023426156,345.18170850266307
-144.28152492668622,0,3,0.0013428616937544218,346.1128775146734
-143.8905180840664,0,3,0.0013468497119672033,346.8966020756777
-143.49951124144673,0,3,0.0013512170000204884,347.5301487036034
-143.1085043988269,0,3,0.0013559332295970438,348.01455913654746
-142.7174975562072,0,3,0.0013609937992891397,348.36309997938605
-142.32649071358742,0,3,0.001366327758487525,348.5975144369566
-141.93548387096774,0,3,0.0013718592515238898,348.7573889026505
-141.54447702834793,0,3,0.001377497005771678,348.8989500418205
-141.15347018572822,0,3,0.0013831438267145864,349.0903815730327
-140.76246334310844,0,3,0.0013887101778349495,349.40198845264746
-140.37145650048876,0,3,0.0013941296202806524,349.89270748421364
-139.98044965786892,0,3,0.00139937283648739,350.59606553922174
-139.58944281524919,0,3,0.001404456708532292,351.5095843246579
-139.1984359726294,0,3,0.0014094456208312471,352.5912072679282
-138.80742913000978,0,3,0.0014144437112377528,353.7644491213138
-138.41642228738996,0,3,0.0014195788364766392,354.93129123474034
-138.02541544477026,0,3,0.0014249809891514632,355.9895472072357
-137.63440860215047,0,3,0.0014307592416598481,356.85052551935513
-137.24340175953074,0,3,0.0014369816467516908,357.45350497878326
-136.85239491691092,0,3,0.0014435843222375478,357.78633180869076
-136.46138807429128,0,3,0.0014506735784790424,357.84488604729023
-136.0703812316715,0,3,0.0014580776650577705,357.695415738554
-135.67937438905182,0,3,0.0014656600455411717,357.42403906845163
-135.28836754643197,0,3,0.001473265779056889,357.13358378088697
-134.8973607038123,0,3,0.001480743957024494,356.9265947335289
-134.50635386119248,0,3,0.0014879681067135478,356.88818998532923
-134.11534701857283,0,3,0.0014948508867646563,357.07280952166116
-133.72434017595302,0,3,0.0015013507842078088,357.4981059416196
-133.33333333333331,0,3,0.0015074704172841073,358.14706602780154
-132.94232649071353,0,3,0.0015132479142500898,358.97689546155897
-132.55131964809385,0,3,0.0015187441566898502,359.9313905260046
-132.160312805474,0,3,0.0015240291363349868,360.95309462833785
-131.76930596285428,0,3,0.0015291702521437124,361.99236714186657
-131.37829912023454,0,3,0.0015342242886967768,363.01198024481783
-130.98729227761487,0,3,0.0015392334319818892,363.9874197082688
-130.59628543499505,0,3,0.0015442170327394388,364.9053022618646
-130.20527859237535,0,3,0.001549200464999483,365.7564649291116
-129.81427174975556,0,3,0.001554175291835659,366.5395920293861
-129.42326490713583,0,3,0.0015591239821564156,367.25874297432364
-129.03225806451601,0,3,0.0015640124937953185,367.92747546567017
-128.64125122189637,0,3,0.001568789491764875,368.57277964815574
-128.25024437927658,0,3,0.0015733880624688844,369.2372929294274
-127.8592375366569,0,3,0.0015777314066443265,369.9777374473263
-127.46823069403708,0,3,0.001581742925729047,370.85851902607425
-127.07722385141737,0,3,0.0015853597100960151,371.940819205906
-126.68621700879758,0,3,0.0015885471089249507,373.2690572521344
-126.29521016617792,0,3,0.001591311186220606,374.85796228668426
-125.90420332355811,0,3,0.0015937057382366562,376.6841168315394
-125.5131964809384,0,3,0.0015958313167952843,378.68514923851177
-125.12218963831862,0,3,0.0015978252930636313,380.76769063036346
-124.73118279569893,0,3,0.0015998440450570527,382.822486156123
-124.34017595307911,0,3,0.0016020377978265602,384.7428938607767
-123.94916911045944,0,3,0.0016045339268713184,386.4424039194047
-123.55816226783963,0,3,0.0016074125020811244,387.86782369656
-123.16715542521996,0,3,0.001610694190431602,389.0066712901722
-122.77614858260011,0,3,0.001614338660887559,389.88847313736335
-122.38514173998043,0,3,0.0016182520248395134,390.58028214511336
-121.99413489736064,0,3,0.0016223028438958156,391.1766602748699
-121.60312805474098,0,3,0.0016263438326858943,391.78480973557646
-121.21212121212116,0,3,0.0016302353179042726,392.50679151006574
-120.82111436950146,0,3,0.0016338661479205455,393.42230160221254
-120.43010752688168,0,3,0.001637168298306894,394.5761484240554
-120.03910068426197,0,3,0.0016401228732552432,395.97359300230306
-119.64809384164215,0,3,0.0016427572107979107,397.58430465279054
-119.25708699902248,0,3,0.001645134775796584,399.35297922876646
-118.86608015640269,0,3,0.0016473408939320813,401.21292457082916
-118.47507331378299,0,3,0.0016494678081424188,403.0987388669788
-118.0840664711632,0,3,0.0016516234964164028,404.9550572033651
-117.69305962854348,0,3,0.001653825977198143,406.74215062676143
-117.30205278592369,0,3,0.0016561577829997775,408.4331859836402
-116.91104594330403,0,3,0.001658651311500726,410.01350432937784
-116.5200391006842,0,3,0.0016613198541952662,411.4767677303359
-116.12903225806448,0,3,0.0016641580008470787,412.82341472858513
-115.73802541544471,0,3,0.0016671409915471245,414.0619055378337
-115.34701857282505,0,3,0.0016702234279123013,415.2122895442284
-114.95601173020523,0,3,0.0016733388945169149,416.3102382359084
-114.56500488758549,0,3,0.0016764025087784968,417.4090810544961
-114.1739980449657,0,3,0.0016793179959485203,418.57769775939653
-113.78299120234607,0,3,0.0016819897161960305,419.8931304038128
-113.39198435972624,0,3,0.001684338520227115,421.42822984453346
-113.00097751710655,0,3,0.0016863188147550872,423.23635771649464
-112.60997067448673,0,3,0.0016879331991592125,425.33675533727967
-112.21896383186707,0,3,0.001689240848308567,427.70495830945214
