% Model,SimpleTrap.mph
% Version,COMSOL 5.6.0.280
% Date,"Jul 4 2023, 00:29"
% Dimension,3
% Nodes,1025
% Expressions,2
% Description,"Electric potential, Electric field norm"
% Length unit,µm
% x,y,z,esbe.V (V),esbe.normE (V/m)
-199.99999999999997,0,3,0.46708428968441185,78120.98125409671
-199.80449657869013,0,3,0.4671375668634865,78182.63625557363
-199.41348973607032,0,3,0.4672586121700733,78276.85000488482
-199.02248289345061,0,3,0.467390136964364,78329.17333189289
-198.6314760508308,0,3,0.46752304145199025,78338.23091666901
-198.24046920821115,0,3,0.4676491748364541,78303.57417549193
-197.84946236559136,0,3,0.4677600498267118,78225.20818094123
-197.45845552297166,0,3,0.46784600106538216,78104.89877491971
-197.06744868035184,0,3,0.46789654974080086,77948.62593544375
-196.67644183773217,0,3,0.46790219655107035,77768.94687344825
-196.28543499511235,0,3,0.46785721780060413,77585.95281856171
-195.89442815249262,0,3,0.46776255740625383,77425.94938886605
-195.50342130987283,0,3,0.4676277784490136,77317.75150746744
-195.1124144672532,0,3,0.4674712812808214,77287.26637247624
-194.7214076246334,0,3,0.4673184728250307,77351.59812451927
-194.3304007820137,0,3,0.467198084065204,77514.11940691664
-193.93939393939388,0,3,0.4671372383321908,77761.80751618756
-193.54838709677415,0,3,0.4671451305155936,78066.47508060317
-193.15738025415436,0,3,0.46725218482586867,78385.47645945752
-192.76637341153472,0,3,0.4674417934882566,78672.90992891403
-192.3753665689149,0,3,0.4676933305537602,78884.76261689981
-191.9843597262952,0,3,0.46797415763740735,78987.79349131524
-191.59335288367538,0,3,0.46824510628632277,78965.82173546508
-191.20234604105568,0,3,0.46846756426111846,78822.78484077273
-190.81133919843583,0,3,0.4686105331712413,78581.8955204048
-190.4203323558162,0,3,0.46865600621318265,78281.11554332293
-190.0293255131964,0,3,0.4686015115886444,77965.98076907861
-189.63831867057672,0,3,0.46845947511728697,77681.35351670516
-189.24731182795693,0,3,0.4682538563903627,77463.82723806021
-188.85630498533723,0,3,0.46801504706303915,77336.25513214666
-188.46529814271742,0,3,0.46777420891166355,77305.31776268034
-188.07429130009768,0,3,0.4675581563271772,77362.34412016236
-187.6832844574779,0,3,0.4673856703302109,77486.90916393884
-187.29227761485825,0,3,0.467266763419526,77651.34146205941
-186.90127077223843,0,3,0.46719910831149175,77829.73153067044
-186.51026392961876,0,3,0.46717671969482993,77997.66986703638
-186.11925708699894,0,3,0.46718861585335486,78138.23190110488
-185.7282502443792,0,3,0.46722308885745406,78241.46630325814
-185.33724340175942,0,3,0.46726970865007533,78302.80925100128
-184.94623655913978,0,3,0.46731980360685543,78320.68608297249
-184.55522971652,0,3,0.46736563313881874,78294.60416317321
-184.1642228739003,0,3,0.4673990371041625,78224.71446852045
-183.77321603128047,0,3,0.4674105702650376,78113.07098292041
-183.38220918866074,0,3,0.46738990921400836,77965.96783473129
-182.99120234604095,0,3,0.46732774846661584,77796.15719938827
-182.6001955034213,0,3,0.4672187274075208,77623.68309206124
-182.2091886608015,0,3,0.4670644346172623,77474.50436647287
-181.8181818181818,0,3,0.4668754110505141,77376.81714147699
-181.42717497556202,0,3,0.4666713333952231,77355.74027971663
-181.03616813294232,0,3,0.4664871319747031,77426.53831698264
-180.64516129032248,0,3,0.4663363636900877,77594.02295558639
-180.25415444770283,0,3,0.4662558422129238,77843.68463676334
-179.86314760508304,0,3,0.4662664611059111,78146.5375108557
-179.47214076246334,0,3,0.4663769264660555,78461.85395325582
-179.08113391984352,0,3,0.46658080642718314,78743.71382205375
-178.69012707722385,0,3,0.4668563431241318,78949.06396374911
-178.29912023460403,0,3,0.467169423882605,79045.63417205864
-177.9081133919843,0,3,0.46747933070288666,79018.00205412028
-177.5171065493645,0,3,0.4677460871059778,78870.47570858015
-177.12609970674487,0,3,0.46793771205086426,78626.17741282635
-176.73509286412505,0,3,0.46803569279073176,78322.56704193761
-176.34408602150538,0,3,0.46803751055555315,78004.41789091773
-175.95307917888556,0,3,0.4679558836375622,77715.76918703647
-175.56207233626583,0,3,0.4678152111999965,77492.52349564174
-175.17106549364604,0,3,0.4676462481429821,77357.1198876618
-174.7800586510264,0,3,0.4674793804489307,77316.20380853639
-174.38905180840658,0,3,0.4673412739008998,77361.38763717939
-173.9980449657869,0,3,0.46725040448839317,77472.82102486317
-173.60703812316706,0,3,0.46721454058756884,77624.38811830318
-173.21603128054736,0,3,0.46723192425949167,77789.24660590528
-172.82502443792757,0,3,0.46729369779072666,77944.3809391844
-172.43401759530792,0,3,0.4673872641169686,78073.20234325044
-172.04301075268813,0,3,0.4674994629614147,78165.88394009296
-171.65200391006843,0,3,0.4676185996250788,78217.87681079414
-171.2609970674486,0,3,0.4677348848986635,78227.65207969175
-170.86999022482894,0,3,0.46783953989354105,78194.9092489363
-170.47898338220912,0,3,0.4679234000667296,78120.1746727382
-170.08797653958945,0,3,0.4679760669246124,78005.99891524085
-169.69696969696963,0,3,0.467986408206938,77859.15390688408
-169.30596285434996,0,3,0.4679446038614173,77692.6849894751
