% Model,SimpleTrap.mph
% Version,COMSOL 5.6.0.280
% Date,"Jul 5 2023, 23:04"
% Dimension,3
% Nodes,1025
% Expressions,2
% Description,"Electric potential, Electric field norm"
% Length unit,µm
% x,y,z,esbe.V (V),esbe.normE (V/m)
-199.99999999999997,0,3,0.46813132048011846,78154.08117020532
-199.80449657869013,0,3,0.468097284788601,78210.08347141124
-199.41348973607032,0,3,0.4680111482126748,78291.21728238043
-199.02248289345061,0,3,0.4679085571205599,78329.36557729587
-198.6314760508308,0,3,0.4677977347986753,78323.9064046391
-198.24046920821115,0,3,0.46768655004112986,78274.75774552488
-197.84946236559136,0,3,0.46758379959905216,78182.6199733355
-197.45845552297166,0,3,0.4675001213594051,78050.84607503991
-197.06744868035184,0,3,0.46744772097784887,77888.01181648504
-196.67644183773217,0,3,0.4674385977565118,77709.83594469492
-196.28543499511235,0,3,0.46748160673277167,77539.24453350264
-195.89442815249262,0,3,0.4675792191167658,77403.99634307569
-195.50342130987283,0,3,0.4677250385234036,77332.11469355067
-195.1124144672532,0,3,0.46790295343341026,77346.09764998723
-194.7214076246334,0,3,0.4680883746431251,77457.29106456766
-194.3304007820137,0,3,0.46825150661881676,77661.84335900712
-193.93939393939388,0,3,0.4683621714591611,77939.36387284272
-193.54838709677415,0,3,0.4684041095485813,78255.15561474081
-193.15738025415436,0,3,0.46834553162241327,78564.21003755718
-192.76637341153472,0,3,0.4681946157634851,78820.376073397
-192.3753665689149,0,3,0.4679666221185475,78983.63834170884
-191.9843597262952,0,3,0.46769047132030145,79027.92030201582
-191.59335288367538,0,3,0.46740390340631394,78946.08762034166
-191.20234604105568,0,3,0.46714664439230585,78751.30094198775
-190.81133919843583,0,3,0.46695316391186537,78474.42409343422
-190.4203323558162,0,3,0.4668467139007537,78158.09504030009
-190.0293255131964,0,3,0.4668359202907749,77848.79713611858
-189.63831867057672,0,3,0.466914444919727,77588.64649907881
-189.24731182795693,0,3,0.46706344991050536,77408.56781747368
-188.85630498533723,0,3,0.4672560376858692,77324.11673424396
-188.46529814271742,0,3,0.46746259199070833,77334.55850739479
-188.07429130009768,0,3,0.4676559406773091,77425.08958651882
-187.6832844574779,0,3,0.4678154008935814,77571.43133311211
-187.29227761485825,0,3,0.46792804913632124,77744.68771006931
-186.90127077223843,0,3,0.4679928626017659,77920.23290366925
-186.51026392961876,0,3,0.468012845193842,78076.38493717901
-186.11925708699894,0,3,0.46799648628576357,78199.49125237697
-185.7282502443792,0,3,0.4679537221107531,78282.41457817418
-185.33724340175942,0,3,0.46789393472712953,78322.41599095115
-184.94623655913978,0,3,0.46782538859867423,78318.8005621399
-184.55522971652,0,3,0.46775598140074914,78271.547324633
-184.1642228739003,0,3,0.467694586584994,78181.61660773985
-183.77321603128047,0,3,0.4676519840024642,78052.79153783222
-183.38220918866074,0,3,0.46764053570344716,77894.12776631588
-182.99120234604095,0,3,0.46767229947893224,77721.70017052475
-182.6001955034213,0,3,0.4677559526575883,77558.50153205066
-182.2091886608015,0,3,0.4678934370487817,77431.968978728
-181.8181818181818,0,3,0.46807742616636305,77369.41812764978
-181.42717497556202,0,3,0.46829052095854595,77392.35700112428
-181.03616813294232,0,3,0.4684912482993477,77510.09369014188
