% Model,SimpleTrap.mph
% Version,COMSOL 5.6.0.280
% Date,"Jul 4 2023, 00:15"
% Dimension,3
% Nodes,1025
% Expressions,2
% Description,"Electric potential, Electric field norm"
% Length unit,µm
% x,y,z,esbe.V (V),esbe.normE (V/m)
-199.99999999999997,0,3,5.453139965820626,81164.89227682177
-199.80449657869013,0,3,5.453088467369832,81214.74365511189
-199.41348973607032,0,3,5.452964363472359,81282.58531598526
-199.02248289345061,0,3,5.45281982637975,81306.58177020277
-198.6314760508308,0,3,5.452663349913197,81286.40896453966
-198.24046920821115,0,3,5.4525032583789885,81222.11434684225
-197.84946236559136,0,3,5.452349017528839,81114.59079680273
-197.45845552297166,0,3,5.45221220904556,80967.67462234585
-197.06744868035184,0,3,5.452106307041218,80790.82633334528
-196.67644183773217,0,3,5.4520448935669865,80600.97746813783
-196.28543499511235,0,3,5.45203861787689,80422.34399293887
-195.89442815249262,0,3,5.452091759660085,80283.6978237416
-195.50342130987283,0,3,5.452199483936164,80213.45391730097
-195.1124144672532,0,3,5.4523467219060056,80233.6533517734
-194.7214076246334,0,3,5.452509189796196,80354.29939093946
-194.3304007820137,0,3,5.4526565521609776,80569.48666667909
-193.93939393939388,0,3,5.452757286710281,80856.41708536734
-193.54838709677415,0,3,5.452796240158152,81179.00164901301
-193.15738025415436,0,3,5.452733446192861,81488.7747933933
-192.76637341153472,0,3,5.452577932114828,81739.78808225297
-192.3753665689149,0,3,5.452343337213329,81892.54911173727
-191.9843597262952,0,3,5.452057770123673,81922.64471552393
-191.59335288367538,0,3,5.451759103657504,81825.43487534931
-191.20234604105568,0,3,5.451488096786215,81616.91798760305
-190.81133919843583,0,3,5.451280943399805,81330.58824793038
-190.4203323558162,0,3,5.451162986776172,81011.01679208339
-190.0293255131964,0,3,5.4511449391879285,80705.59642893911
-189.63831867057672,0,3,5.451222194362204,80456.22359283578
-189.24731182795693,0,3,5.451377025388918,80292.59459386714
-188.85630498533723,0,3,5.451582881799129,80228.33227019377
-188.46529814271742,0,3,5.45180972603985,80260.47849457072
-188.07429130009768,0,3,5.452029317235153,80372.14775279627
-187.6832844574779,0,3,5.452219465153493,80537.47665615943
-187.29227761485825,0,3,5.452366101240053,80726.55173078315
-186.90127077223843,0,3,5.452464863826081,80914.83133310384
-186.51026392961876,0,3,5.4525184177250186,81080.83643677982
-186.11925708699894,0,3,5.452533991770592,81211.49822092781
-185.7282502443792,0,3,5.45252053291753,81300.21712703882
-185.33724340175942,0,3,5.452486677475402,81344.55941790166
-184.94623655913978,0,3,5.452440163900992,81343.88201998362
-184.55522971652,0,3,5.452388592700238,81298.1051037926
-184.1642228739003,0,3,5.45234081558577,81208.254692847
-183.77321603128047,0,3,5.452307927513353,81078.51956505136
-183.38220918866074,0,3,5.452302978274224,80918.788475769
-182.99120234604095,0,3,5.452339055931063,80746.29833256485
-182.6001955034213,0,3,5.452426092434516,80585.26345333378
-182.2091886608015,0,3,5.4525673083651816,80464.04194653335
-181.8181818181818,0,3,5.452756431548117,80410.23201726234
-181.42717497556202,0,3,5.452976647717955,80444.7757757026
-181.03616813294232,0,3,5.453201607797951,80575.72875040944
-180.64516129032248,0,3,5.453400453914689,80797.78652727976
-180.25415444770283,0,3,5.453539204305473,81086.62161467811
-179.86314760508304,0,3,5.453590165147954,81404.83965711478
-179.47214076246334,0,3,5.453536595002837,81706.79570210201
-179.08113391984352,0,3,5.453376908678624,81946.41028744848
-178.69012707722385,0,3,5.453126189505956,82085.56236051145
-178.29912023460403,0,3,5.452814351401699,82101.26834802859
-177.9081133919843,0,3,5.452481106540273,81990.06360346013
-177.5171065493645,0,3,5.452168782416243,81768.61779978429
-177.12609970674487,0,3,5.451914655696267,81470.47367749814
-176.73509286412505,0,3,5.451744581235042,81139.667981969
-176.34408602150538,0,3,5.45166926234191,80822.65234555966
-175.95307917888556,0,3,5.451683728849861,80560.22989615698
-175.56207233626583,0,3,5.451769775096321,80381.1173716046
-175.17106549364604,0,3,5.451900519910623,80298.29366810068
-174.7800586510264,0,3,5.452045020801034,80308.60482860208
-174.38905180840658,0,3,5.4521758529706315,80395.52382984821
-173.9980449657869,0,3,5.452272507987281,80533.97615327065
-173.60703812316706,0,3,5.452322886498058,80696.0973252735
-173.21603128054736,0,3,5.452324112874536,80856.44245285877
-172.82502443792757,0,3,5.452280779452239,80995.47799121981
-172.43401759530792,0,3,5.452202015645763,81100.77567005933
-172.04301075268813,0,3,5.452098483813222,81166.08166119216
-171.65200391006843,0,3,5.451980330427373,81189.13050547834
-171.2609970674486,0,3,5.4518566484245925,81169.45242352673
-170.86999022482894,0,3,5.451736309318946,81107.310494943
-170.47898338220912,0,3,5.451629391155085,81004.31269264073
-170.08797653958945,0,3,5.451548134332243,80865.40422213836
-169.69696969696963,0,3,5.45150653326421,80701.22233912116
-169.30596285434996,0,3,5.451518244273231,80529.5074893674
-168.91495601173017,0,3,5.4515932127119395,80374.52297916586
-168.52394916911047,0,3,5.451738396443031,80264.74914935615
